hash,mode,max_iters,wlhash,stabilized_at,cpu_time_s,max_mem_kib,local,isohash,family,result,track,clauses,variables,bytes,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative
7eeb8f92ff5de670175c3e624562bc79,nomode,9,56726c3e6dc17f84,NA,18.7837,510884,/nfs/share/instances/gbd/cnf/7eeb8f92ff5de670175c3e624562bc79-stone-width3chain-nmarkers-17_shuffled.cnf.xz,e7ad549275893fc0b3784cbb0e0a2a85,stone,unsat,anni_2022,7165865,2862,231225894,0,212,0,0,137800,7027800,0,0,0,53,790438,798903,113594,112526
34efd2d5550ae2c9f66516cdd8032784,nomode,9,6a2e7da694b4529e,NA,0.017933,7680,/nfs/share/instances/gbd/cnf/34efd2d5550ae2c9f66516cdd8032784-gencnf-k6-r44.3-v123-c5448-08-S816777283.used-as.sat04-228.cnf.xz,5683a1dd70378c49203d9abcae4e5f0c,random,unknown,random_2004,5448,123,128040,0,0,0,0,0,5448,0,0,0,0,526,636,90,86
b604dae746cee6a128360a0618fb1b6c,nomode,9,611ef4836f722b5d,NA,1.28675,63432,/nfs/share/instances/gbd/cnf/b604dae746cee6a128360a0618fb1b6c-59-121575.cnf.xz,328b249cfffefabaeed3a3a6f1d2d212,station-repacking,unknown,None,714891,29501,11014053,3,713515,1,1,5,2,0,9,2,1353,713518,1376,1376,713515
6d9feea9ec235bcd6ae749968dde1c65,nomode,9,f53c4c8429fcdafd,NA,0.007474,6144,/nfs/share/instances/gbd/cnf/6d9feea9ec235bcd6ae749968dde1c65-unif-c1505-v350-s1149048937.cnf.xz,ade655941f4436945d0fe7dd225b6344,uniform-random,unknown,random_2002,1505,350,21878,0,0,1505,0,0,0,0,0,0,0,754,751,178,165
946245fe399ee10dea4d2ced60cd1480,nomode,9,dfd5922e2c4ee439,NA,80.5226,2172344,/nfs/share/instances/gbd/cnf/946245fe399ee10dea4d2ced60cd1480-hwmcc12miters-xits-iso-6s125.sanitized.cnf.xz,0a4282c4d615bd2af38a4aa59e25de41,miter,unknown,submissions_2024,24695552,7870521,565245636,2,11452256,13241500,0,0,0,0,0,0,0,16939593,13597591,2410502,6407749
3a32165d4f934b7e476931deaefc07b4,nomode,9,8a70236a75222228,NA,0.311268,17196,/nfs/share/instances/gbd/cnf/3a32165d4f934b7e476931deaefc07b4-bench_522.smt2.cnf.xz,86f64b010449f0235a0f12b0fca94550,agile,sat,agile_2016,112582,32084,2055205,473,36592,72154,3295,0,0,60,4,0,4,62409,68046,28179,10316
1da3e5e6478334828066edfc397b061c,nomode,9,8c2cde93aa365e13,NA,0.297219,16708,/nfs/share/instances/gbd/cnf/1da3e5e6478334828066edfc397b061c-MM-23-2-2-2-2-M.cnf.xz,07d3802762e170490dbb44885fd926ab,matrix-multiplication,unknown,anni_2022,117206,26541,2445342,80,37260,21546,58320,0,0,0,0,0,0,84226,67748,784,1612
a79e42f93c80aa3145ffa8d8423d0b66,nomode,9,0e263396210b149a,NA,0.955188,56272,/nfs/share/instances/gbd/cnf/a79e42f93c80aa3145ffa8d8423d0b66-42-107449.cnf.xz,2ec7e9928709e2a3e028c57c1e2a4f69,station-repacking,unknown,None,526326,25065,8058579,3,525164,1,1,4,2,0,8,4,1139,525167,1162,1162,525164
c65602cb883fccc54652c9701b15d016,nomode,9,8261774ac8d4ce98,NA,0.609912,36884,/nfs/share/instances/gbd/cnf/c65602cb883fccc54652c9701b15d016-46-84083.cnf.xz,f86ed8a06005aa607c50a1b5f079e62b,station-repacking,unknown,None,350829,19734,5322396,3,349917,1,1,1,1,0,6,1,898,349920,912,912,349917
a6f081826cc948105b3a6c2983cba230,nomode,9,14c25cf7dcfd83ad,NA,0.121713,10752,/nfs/share/instances/gbd/cnf/a6f081826cc948105b3a6c2983cba230-satch2ways13.cnf.xz,ffce60f368258b0d3d547329ce74535d,test-configuration,unsat,None,42201,13709,703130,0,26112,14155,0,0,0,0,0,0,1934,40694,26711,979,1863
