hash	mode	neigh_hop	advanced_sort	sum_sort	wlhash	stabilized_at	cpu_time_s	max_mem_kib
00063d88244921d6ec46aeab6866a8e2	adv	0	1	0	ea8fa0f0ecfb333e	26	9.17959	31724
00072cf107ae1349c8c59a15c5ce4af1	adv	0	1	0	9e072dca530d7a40	4	0.026835	0
00076733bdbce94d7e44eca84f1425f0	adv	0	1	0	5dac3f1f46833edc	9	47.2634	342616
000781b7a545fe723159e53127aff659	adv	0	1	0	45a7d68952db5ce9	24	61.3273	165944
000a41cdca43be89ed62ea3abf2d0b64	adv	0	1	0	8817ec1923525b06	12	31.0126	227872
000e4e0db67e27083649c20a2a3f761b	adv	0	1	0	94844a435ed1faea	4	121.904	1400420
00107d84f57e2371476a7b2cabe0b351	adv	0	1	0	NA	NA	3.45	NA
001304ba2e4e8adbd179aa3d8acb697b	adv	0	1	0	6d9a2b4a9b19dc5e	5	0.027908	0
001344c9b3cb1626af1c7c35155cf26a	adv	0	1	0	NA	NA	3.48	NA
0020aa0c69379226948904ad455b6c09	adv	0	1	0	1dc57ba8b2339b4f	3	0.085789	0
00213e27dabcf679205144f3dde5d37e	adv	0	1	0	75d0e0dec90793fd	3	0.099249	0
0022f125b13bd7ccc91e793431c67a52	adv	0	1	0	0199b25a47d2b690	13	162.298	764108
0025a06f00f6e467f7cf4ef9e649b2a7	adv	0	1	0	31c4689dd616263e	40	56.8826	100044
00260e67c792062bc3e10e6b94522101	adv	0	1	0	edf8274d724e3b72	24	93.4029	220804
0026aaf8bbf2df73cb5db34a7b7a7a04	adv	0	1	0	7ebe76a7710dc065	24	81.8442	211968
00274d0721d26f867b2573377712cac9	adv	0	1	0	392597cc7b19ee73	15	19.0764	87568
00275f3018d50ba38867268739dfc44f	adv	0	1	0	7d70a2e3d8c2ae0a	5	0.038693	0
002a0330958a14deb23dcc84b5489e8a	adv	0	1	0	969de1369e9085f1	58	170.961	224804
002bed2572e6e326815e674f288de8b4	adv	0	1	0	1b235a796fe28868	20	0.643455	0
003154fc91d34d29ec5cf93b0bc32143	adv	0	1	0	49d0aac6c7fd6222	24	26.2287	80604
00316e383123773ae35d3210f5396205	adv	0	1	0	481daf60799368ae	5	0.130745	0
0033baadbd48d3f880e9b5a733bd4950	adv	0	1	0	29865d9ee527fa44	1	0.023214	0
0035666407d4ccb5082630045d60a5fe	adv	0	1	0	dff16a564dc8782d	3	0.124204	0
0038cea06eae4c3234b7bb65d9a8497c	adv	0	1	0	86fe91bc55cad0c4	3	0.13381	0
003a77d2aa15a5f93aa2cfe79b986c9e	adv	0	1	0	0c2edd9658356c79	2	0.427846	0
003de2086be59a5fb7a7aaad0992cf47	adv	0	1	0	8b28f3ae06e19023	6	0.076068	0
003deabca05a76f3ee449221a80d8b62	adv	0	1	0	7562db52ecefc111	24	78.5681	174324
0041051c73dcdd885d412a38e8b09fba	adv	0	1	0	f35b6f503c96c353	3	0.099208	0
0041f01bcd7d0d1f9541cea6da79ad57	adv	0	1	0	3c49a0f8ebc04e7e	5	1.04185	0
0042a627dfba7daa62d6ce175540c8a2	adv	0	1	0	a619ad377631421f	4	1.24566	0
0043cfdde474fa37dfeb5ce5952d22f6	adv	0	1	0	0e42ef80e329f296	4	0.059903	0
0049919cdf9556bfda5bb365af72414c	adv	0	1	0	703f1c7e72447ee6	24	74.7018	189412
004b0f451f7d96f6a572e9e76360f51a	adv	0	1	0	NA	NA	3.65	NA
005093e294b0ed0f7b23f341ff68968b	adv	0	1	0	64ac332d146c976e	24	60.6816	144988
00547b9476397463c8220560aeeea086	adv	0	1	0	251ce6c2f5e38c82	74	109.686	74516
005522cf558f9b77ed345a289384e191	adv	0	1	0	c8c861131ca7239d	4	0.059387	0
00597fb425e994af7a9d224ef4d09fc4	adv	0	1	0	5dde3a5eca7c2735	24	64.4628	172196
0059d4b1cf79efbc6e6ed50caee0448e	adv	0	1	0	41e2586528b587a5	10	0.225012	0
005ccb378ced61c02105ed7ee0a62038	adv	0	1	0	b542535416370414	1	0.456946	0
005d76c0f37b33d8b752f7ebdd157a99	adv	0	1	0	0d312ba0b15a2b1f	5	0.071723	0
00613b57720df18bec8d8dc68dc57a7b	adv	0	1	0	2f54ee68f4f4a6aa	24	81.4589	200632
006282ac3d0013b911249d14c326f53d	adv	0	1	0	15907c054a561d51	14	1.45745	0
0062dc10471119b9e13da682216b190f	adv	0	1	0	3d14806330b14302	18	129.358	455780
0064aa2e16c9d4b18d32a45d3073fce9	adv	0	1	0	eff8268e46a34739	25	24.3985	59436
0067d012901f358831afb6d6e5f83767	adv	0	1	0	NA	NA	3.15	NA
006be0fb3ae0a75aac0e386c2e6c4669	adv	0	1	0	06ca2609a4844ff8	59	60.5666	57940
006c57c6c09a6e4a4402f1dd264cab15	adv	0	1	0	54d1e8cbec124e4f	24	59.6774	154820
006cc1f4e081e7fd96a50a2171792f21	adv	0	1	0	3f5fc4f09e673fa3	24	34.3207	83204
006da0e3f4ad5b1ecd3651e66dbea36d	adv	0	1	0	a14792f5ee1c21c9	24	23.4557	92460
006dcf7e3d0fa7c39b0f542ad0ec949e	adv	0	1	0	NA	NA	2.76	NA
006e293dfc476b21c246b963c6eb16b7	adv	0	1	0	05f6b88530de9659	63	43.6554	38460
0071b624d91ebe408b0585f8c4e34fd9	adv	0	1	0	3fdf9329fb76b486	11	10.0209	50060
0072b0ce5c4ab8386763d10ef88f636e	adv	0	1	0	318e795c66b3ad62	24	69.5851	154568
0072b38614d34eb3c6ffc36aef13ee3a	adv	0	1	0	1c39b8804a93717b	24	55.4973	145400
00784e1e1a9ae772aae7f33c1fa5fbe2	adv	0	1	0	1249d822eb0d0c8b	3	0.593815	0
00847fca81490df01b9e239fd6027378	adv	0	1	0	f0d88e4dbb09334f	63	26.0969	31568
0085c7242003811caf4b7eff64022e55	adv	0	1	0	b2395d4f352a8721	24	91.4628	173340
008d1f79eec2b7712637e48aec7a63cd	adv	0	1	0	936f0bc65967897d	24	66.4051	143144
008d78352c3d630340e6a3ef0d7242d7	adv	0	1	0	fcfe20a84118561f	22	84.5078	209484
008e7716c69009090ff6bd0048dc55f8	adv	0	1	0	c45c905b90f3a615	75	80.8301	77248
008fa3f37db9759dee825665e78e2e80	adv	0	1	0	70f5c54b0536467f	24	50.1497	115804
