hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
0026aaf8bbf2df73cb5db34a7b7a7a04	adv	7ebe76a7710dc065	24	90.7562	211536	/nfs/share/instances/gbd/cnf/0026aaf8bbf2df73cb5db34a7b7a7a04-42-132768.cnf.xz	d7f6183466dc80f719aed63fec0707bc	station-repacking	unknown	809889	31450	12500681	3	808422	1	1	4	2	0	9	4	1443	808425	1467	1467	808422
00274d0721d26f867b2573377712cac9	adv	392597cc7b19ee73	15	18.866	93484	/nfs/share/instances/gbd/cnf/00274d0721d26f867b2573377712cac9-27.smt2.cnf.xz	a98b53d0f8f0e2f592db32ad49a13198	bitvector	sat	284554	89850	5017384	47	147954	136553	0	0	0	0	0	0	0	204797	142502	40947	89461
00275f3018d50ba38867268739dfc44f	adv	7d70a2e3d8c2ae0a	5	0.038546	0	/nfs/share/instances/gbd/cnf/00275f3018d50ba38867268739dfc44f-x9-04058.sat.sanitized.cnf.xz	fb9c4b5fc1c151737b9bf2544bafbc56	hamiltonian	unknown	1795	200	20873	0	1635	0	35	90	35	0	0	0	0	1635	160	160	1635
002a0330958a14deb23dcc84b5489e8a	adv	969de1369e9085f1	58	203.994	220252	/nfs/share/instances/gbd/cnf/002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown.cnf.xz	227779ac538cd3a2c78c6ff3d8cad235	scheduling	unsat	763101	33320	19183036	0	52598	92683	617820	0	0	0	0	0	0	93867	93869	5067	5076
002bed2572e6e326815e674f288de8b4	adv	1b235a796fe28868	20	0.644831	0	/nfs/share/instances/gbd/cnf/002bed2572e6e326815e674f288de8b4-fdmus_b21_341.cnf.xz	7a0032b8aad3b21cda036a79caa5f6eb	fdmus	unsat	7704	2823	106592	6	5334	2364	0	0	0	0	0	0	0	5955	4611	733	2477
003154fc91d34d29ec5cf93b0bc32143	adv	49d0aac6c7fd6222	24	24.9943	78876	/nfs/share/instances/gbd/cnf/003154fc91d34d29ec5cf93b0bc32143-54-78879.cnf.xz	3918389491f1e0424a221e5a508d30ff	station-repacking	unknown	320248	18477	4839266	3	319392	1	1	2	1	0	7	1	840	319395	856	856	319392
00316e383123773ae35d3210f5396205	adv	481daf60799368ae	5	0.09799	0	/nfs/share/instances/gbd/cnf/00316e383123773ae35d3210f5396205-x9-11064.sat.sanitized.cnf.xz	9368b98845a0f9d0557d536ab072e400	hamiltonian	unknown	4940	550	61464	0	4500	0	100	240	100	0	0	0	0	4500	440	440	4500
0033baadbd48d3f880e9b5a733bd4950	adv	29865d9ee527fa44	1	0.022484	0	/nfs/share/instances/gbd/cnf/0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled.cnf.xz	767c3e4149c9da1265bdfdb3e1526766	coloring	unsat	2520	1080	29236	0	2160	360	0	0	0	0	0	0	0	1810	1772	562	628
0035666407d4ccb5082630045d60a5fe	adv	dff16a564dc8782d	3	0.119857	0	/nfs/share/instances/gbd/cnf/0035666407d4ccb5082630045d60a5fe-unif-k5-r21.117-v300-c6335-S7321118839272301463.cnf.xz	dbcbcc0d7ada0bf52960d506ac2fdfc7	uniform-random	unknown	6335	300	143385	0	0	0	0	6335	0	0	0	0	0	1173	1231	221	195
0038cea06eae4c3234b7bb65d9a8497c	adv	86fe91bc55cad0c4	3	0.136679	0	/nfs/share/instances/gbd/cnf/0038cea06eae4c3234b7bb65d9a8497c-unif-k7-r89-v65-c5785-S709270457-007.cnf.xz	9ad8991134b4b8fce5115a69f27fb3e6	uniform-random	sat	5785	65	146422	0	0	0	0	0	0	5785	0	0	0	381	384	38	40
003a77d2aa15a5f93aa2cfe79b986c9e	adv	0c2edd9658356c79	2	0.385497	0	/nfs/share/instances/gbd/cnf/003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf.xz	52b4b2deffe6f3a04cde483bc0665f3a	coloring	sat	49835	790	718484	0	7050	42750	0	0	0	0	0	0	35	24809	28599	7950	5980
003de2086be59a5fb7a7aaad0992cf47	adv	8b28f3ae06e19023	6	0.074687	0	/nfs/share/instances/gbd/cnf/003de2086be59a5fb7a7aaad0992cf47-x9-07025.sat.sanitized.cnf.xz	b4980faa72567edd1a8724e53088db1d	hamiltonian	unknown	3146	350	38238	0	2866	0	66	148	66	0	0	0	0	2866	280	280	2866
003deabca05a76f3ee449221a80d8b62	adv	7562db52ecefc111	24	72.2535	175752	/nfs/share/instances/gbd/cnf/003deabca05a76f3ee449221a80d8b62-42-127629.cnf.xz	b3577d5a29c8de66ba0ef905fbaf8d01	station-repacking	unknown	746852	30142	11511107	3	745448	1	1	4	2	0	9	4	1380	745451	1404	1404	745448
0041051c73dcdd885d412a38e8b09fba	adv	f35b6f503c96c353	3	0.096915	0	/nfs/share/instances/gbd/cnf/0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled.cnf.xz	1731a457fce065a6a758b224839f45ee	relativized-pigeon-hole	unsat	6959	520	128602	0	650	0	6305	0	0	0	0	0	4	2235	2499	514	425
